GO-ID,Term,TestSeqs
GO:0007017,microtubule-based process,"TR33683|c0_g1_i1, TR39623|c2_g2_i1, TR38193|c2_g3_i1, TR35605|c0_g2_i1, TR18789|c0_g1_i1, TR36369|c0_g1_i2, TR36988|c9_g2_i1, TR37330|c4_g2_i1, TR34994|c5_g1_i1, TR34605|c0_g1_i1, TR29297|c0_g1_i1, TR30549|c0_g1_i1, TR32930|c1_g1_i1, TR13839|c0_g1_i2, TR36904|c3_g1_i3, TR26271|c0_g1_i1, TR28329|c0_g1_i1"
GO:0015630,microtubule cytoskeleton,"TR33683|c0_g1_i1, TR32487|c0_g1_i5, TR39623|c2_g2_i1, TR36131|c0_g1_i1, TR38193|c2_g3_i1, TR35605|c0_g2_i1, TR30370|c0_g1_i1, TR30123|c0_g1_i2, TR33182|c0_g1_i1, TR36369|c0_g1_i2, TR36988|c9_g2_i1, TR37330|c4_g2_i1, TR33893|c0_g1_i1, TR30549|c0_g1_i1, TR36904|c3_g1_i3"
GO:0005856,cytoskeleton,"TR33683|c0_g1_i1, TR32487|c0_g1_i5, TR39623|c2_g2_i1, TR36131|c0_g1_i1, TR38193|c2_g3_i1, TR35605|c0_g2_i1, TR30370|c0_g1_i1, TR30123|c0_g1_i2, TR33182|c0_g1_i1, TR36369|c0_g1_i2, TR36988|c9_g2_i1, TR37330|c4_g2_i1, TR33893|c0_g1_i1, TR30549|c0_g1_i1, TR36904|c3_g1_i3"
GO:0044430,cytoskeletal part,"TR33683|c0_g1_i1, TR32487|c0_g1_i5, TR39623|c2_g2_i1, TR36131|c0_g1_i1, TR38193|c2_g3_i1, TR35605|c0_g2_i1, TR30370|c0_g1_i1, TR30123|c0_g1_i2, TR36369|c0_g1_i2, TR36988|c9_g2_i1, TR37330|c4_g2_i1, TR30549|c0_g1_i1, TR36904|c3_g1_i3"
GO:0061640,cytoskeleton-dependent cytokinesis,"TR29297|c0_g1_i1, TR39623|c2_g2_i1, TR18789|c0_g1_i1, TR30549|c0_g1_i1, TR13839|c0_g1_i2, TR26271|c0_g1_i1, TR28329|c0_g1_i1, TR34994|c5_g1_i1, TR34605|c0_g1_i1"
GO:0003774,motor activity,"TR33683|c0_g1_i1, TR39623|c2_g2_i1, TR38193|c2_g3_i1, TR35605|c0_g2_i1, TR30549|c0_g1_i1, TR36904|c3_g1_i3, TR36369|c0_g1_i2, TR36988|c9_g2_i1, TR37330|c4_g2_i1"
GO:0051301,cell division,"TR29297|c0_g1_i1, TR33956|c1_g1_i4, TR39623|c2_g2_i1, TR31019|c2_g1_i1, TR18789|c0_g1_i1, TR30549|c0_g1_i1, TR13839|c0_g1_i2, TR26271|c0_g1_i1, TR28329|c0_g1_i1, TR34994|c5_g1_i1, TR34605|c0_g1_i1"
GO:0015631,tubulin binding,"TR33683|c0_g1_i1, TR39623|c2_g2_i1, TR38193|c2_g3_i1, TR35605|c0_g2_i1, TR30549|c0_g1_i1, TR32930|c1_g1_i1, TR36904|c3_g1_i3, TR36369|c0_g1_i2, TR36988|c9_g2_i1, TR37330|c4_g2_i1"
GO:1902410,mitotic cytokinetic process,"TR29297|c0_g1_i1, TR18789|c0_g1_i1, TR30549|c0_g1_i1, TR13839|c0_g1_i2, TR26271|c0_g1_i1, TR28329|c0_g1_i1, TR34994|c5_g1_i1, TR34605|c0_g1_i1"
GO:0000281,mitotic cytokinesis,"TR29297|c0_g1_i1, TR18789|c0_g1_i1, TR30549|c0_g1_i1, TR13839|c0_g1_i2, TR26271|c0_g1_i1, TR28329|c0_g1_i1, TR34994|c5_g1_i1, TR34605|c0_g1_i1"
