,TR2144|c0_g1_i1,GO:0032550,atp-dependent zinc metalloprotease ftsh chloroplastic-like isoform x1,,,,,,
Rib bioge,TR2253|c0_g1_i1,GO:0006399,mediator of rna polymerase ii transcription subunit 36a-like,,,,,,
ribpr cpx ,TR2253|c0_g1_i1,GO:0003676,mediator of rna polymerase ii transcription subunit 36a-like,,,,,,
,TR2253|c0_g1_i1,GO:0042254,mediator of rna polymerase ii transcription subunit 36a-like,,,,,,
,TR2253|c0_g1_i1,GO:0016741,mediator of rna polymerase ii transcription subunit 36a-like,,,,,,
,TR3024|c0_g1_i1,GO:0044710,cytochrome p450 94a1,,,,,,
,TR3024|c0_g1_i1,GO:0046914,cytochrome p450 94a1,,,,,,
,TR3024|c0_g1_i1,GO:0016712,cytochrome p450 94a1,,,,,,
,TR3024|c0_g1_i1,GO:0046906,cytochrome p450 94a1,,,,,,
ribpr cpx ,TR3156|c0_g1_i1,GO:0003676,40s ribosomal protein,,,,,,
,TR3156|c0_g1_i1,GO:0034645,40s ribosomal protein,,,,,,
,TR3156|c0_g1_i1,GO:0005198,40s ribosomal protein,,,,,,
,TR3156|c0_g1_i1,GO:0044391,40s ribosomal protein,,,,,,
,TR3682|c0_g1_i1,GO:0048827,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0055076,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0003002,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0043231,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0034645,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0010468,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0051301,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0001071,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0003677,gras family transcription factor,,,,,,
,TR3682|c0_g1_i1,GO:0007346,gras family transcription factor,,,,,,
,TR5709|c0_g1_i1,GO:0044267,10 kda chaperonin-like,,,,,,
,TR5709|c0_g1_i1,GO:0044424,10 kda chaperonin-like,,,,,,
Ribpr cpx,TR5831|c0_g2_i2,GO:0034645,60s ribosomal protein l6-like,,,,,,
,TR5831|c0_g2_i2,GO:0030529,60s ribosomal protein l6-like,,,,,,
,TR5831|c0_g2_i2,GO:0005198,60s ribosomal protein l6-like,,,,,,
,TR8642|c0_g2_i1,GO:0046914,early nodulin-like protein 11,,,,,,
,TR10391|c0_g2_i1,GO:0006464,cyclin-dependent kinase b2-2,,,,,,
,TR10391|c0_g2_i1,GO:0004674,cyclin-dependent kinase b2-2,,,,,,
,TR10391|c0_g2_i1,GO:0032550,cyclin-dependent kinase b2-2,,,,,,
,TR10684|c0_g1_i1,GO:0016705,1-aminocyclopropane-1-carboxylic acid oxidase,,,,,,
,TR10684|c0_g1_i1,GO:0043169,1-aminocyclopropane-1-carboxylic acid oxidase,,,,,,
,TR10684|c0_g1_i1,GO:0044710,1-aminocyclopropane-1-carboxylic acid oxidase,,,,,,
,TR10794|c1_g1_i1,GO:0044710,short-chain dehydrogenase reductase family protein,,,,,,
,TR10794|c1_g1_i1,GO:0003824,short-chain dehydrogenase reductase family protein,,,,,,
,TR12233|c0_g1_i1,GO:0008152,c-terminal s-isoprenylcysteine carboxyl o-methyltransferases,,,,,,
,TR12233|c0_g1_i1,GO:0016741,c-terminal s-isoprenylcysteine carboxyl o-methyltransferases,,,,,,
Gen/sile,TR13839|c0_g1_i2,GO:0007017,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:1901990,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0043231,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0006305,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0048580,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0008204,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0048449,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0006342,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0051052,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0016863,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0034968,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:0010876,uncharacterized protein loc103324040,,,,,,
,TR13839|c0_g1_i2,GO:1902410,uncharacterized protein loc103324040,,,,,,
,TR14042|c0_g1_i1,GO:0044699,uncharacterized protein at5g39865-like,,,,,,
,TR14135|c0_g1_i1,GO:0032550,rac-like gtp-binding protein arac7-like,,,,,,
,TR14135|c0_g1_i1,GO:0035556,rac-like gtp-binding protein arac7-like,,,,,,
,TR14135|c0_g1_i1,GO:0030036,rac-like gtp-binding protein arac7-like,,,,,,
,TR14135|c0_g1_i1,GO:0009755,rac-like gtp-binding protein arac7-like,,,,,,
,TR14135|c0_g1_i1,GO:0044464,rac-like gtp-binding protein arac7-like,,,,,,
,TR14135|c0_g1_i1,GO:0016020,rac-like gtp-binding protein arac7-like,,,,,,
Ribpr cpx,TR14886|c0_g1_i1,GO:0034645,60s ribosomal protein l3-like,,,,,,
,TR14886|c0_g1_i1,GO:0030529,60s ribosomal protein l3-like,,,,,,
,TR14886|c0_g1_i1,GO:0005198,60s ribosomal protein l3-like,,,,,,
,TR15704|c0_g1_i1,GO:0016773,pfkb family carbohydrate kinase,,,,,,
,TR15704|c0_g1_i1,GO:0016310,pfkb family carbohydrate kinase,,,,,,
,TR15704|c0_g1_i1,GO:0019321,pfkb family carbohydrate kinase,,,,,,
,TR16232|c0_g1_i1,GO:0009532,hypothetical chloroplast rf21,,,,,,
,TR16232|c0_g1_i1,GO:0032550,hypothetical chloroplast rf21,,,,,,
,TR18789|c0_g1_i1,GO:0043231,scarecrow-like protein 28,,,,,,
,TR18789|c0_g1_i1,GO:0034645,scarecrow-like protein 28,,,,,,
,TR18789|c0_g1_i1,GO:0010468,scarecrow-like protein 28,,,,,,
